num	name	value
01	北海道	5474216
02	青森	1383043
03	岩手	1317795
04	宮城	2302706
05	秋田	1086018
06	山形	1160204
07	福島	1991865
08	茨城	2960010
09	栃木	1988755
10	群馬	1990944
11	埼玉	7149503
12	千葉	6147619
13	東京	12699271
14	神奈川	8917368
15	新潟	2364632
16	富山	1087544
17	石川	1156730
18	福井	803180
19	山梨	855746
20	長野	2145962
21	岐阜	2068942
22	静岡	3750571
23	愛知	7263173
24	三重	1838613
25	滋賀	1394472
26	京都	2542740
27	大阪	8679933
28	兵庫	5572405
29	奈良	1401243
30	和歌山	1018668
31	鳥取	588715
32	島根	713056
33	岡山	1931586
34	広島	2846680
35	山口	1445473
36	徳島	786640
37	香川	1006488
38	愛媛	1441291
39	高知	759680
40	福岡	5049457
41	佐賀	853363
42	長崎	1431485
43	熊本	1822331
44	大分	1196804
45	宮崎	1143744
46	鹿児島	1706081
47	沖縄	1422938
48	全国計	126659683
