name,1920,1920m,1920f,1925,1925m,1925f,1930,1930m,1930f,1935,1935m,1935f,1940,1940m,1940f,1945,1945m,1945f,1950,1950m,1950f,1955,1955m,1955f,1960,1060m,1960f,1965,1965m,1965f,1970,1970m,1970f,1975,1975m,1975f,1980,1980m,1980f,1985,1985m,1985f,1990,1990m,1990f,1995,1995m,1995f,2000,2000m,2000f,2005,2005m,2005f,2010,2010m,2010f
北海道,2359183,1244322,1114861,2498679,1305473,1193206,2812335,1468540,1343795,3068282,1593845,1474437,3272718,1695600,1577118,3518389,1738623,1779766,4295567,2169393,2126174,4773087,2428833,2344254,5039206,2544753,2494453,5171800,2583159,2588641,5184287,2552806,2631481,5338206,2621285,2716921,5575989,2737089,2838900,5679439,2766296,2913143,5643647,2722988,2920659,5692321,2736844,2955477,5683062,2719389,2963673,5627737,2675033,2952704,5506419,2603345,2903074
青森県,756454,381293,375161,812977,408770,404207,879914,441441,438473,967129,484277,482852,1000509,496614,503895,1083250,511798,571452,1282867,635547,647320,1382523,678837,703686,1426606,694037,732569,1416591,682972,733619,1427520,685477,742043,1468646,707232,761414,1523907,735444,788463,1524448,731439,793009,1482873,704758,778115,1481663,704189,777474,1475728,702573,773155,1436657,679077,757580,1373339,646141,727198
岩手県,845540,421069,424471,900984,448637,452347,975771,486925,488846,1046111,519485,526626,1095793,544276,551517,1227789,579741,648048,1346728,664000,682728,1427097,698563,728534,1448517,702697,745820,1411118,679497,731621,1371383,658458,712925,1385563,668193,717370,1421927,688460,733467,1433611,691740,741871,1416928,680197,736731,1419505,681986,737519,1416180,681238,734942,1385041,663580,721461,1330147,634971,695176
宮城県,961768,485309,476459,1044036,525191,518845,1142784,575335,567449,1234801,622973,611828,1271238,637888,633350,1462254,684453,777801,1663442,828879,834563,1727065,846404,880661,1743195,848579,894616,1753126,854043,899083,1819223,889036,930187,1955267,960245,995022,2082320,1025903,1056417,2176295,1071741,1104554,2248558,1105103,1143455,2328739,1144739,1184000,2365320,1158622,1206698,2360218,1149172,1211046,2348165,1139566,1208599
秋田県,898537,453682,444855,936408,470737,465671,987706,495009,492697,1037744,519249,518495,1052275,524018,528257,1211871,574732,637139,1309031,646445,662586,1348871,660066,688805,1335580,644671,690909,1279835,614429,665406,1241376,593232,648144,1232481,590492,641989,1256745,603403,653342,1254032,599591,654441,1227478,584678,642800,1213667,577535,636132,1189279,564556,624723,1145501,540539,604962,1085997,509926,576071
山形県,968925,478328,490597,1027297,506303,520994,1080034,532377,547657,1116822,549060,567762,1119338,548404,570934,1326350,612300,714050,1357347,660555,696792,1353649,651737,701912,1320664,630997,689667,1263103,605185,657918,1225618,587515,638103,1220302,586918,633384,1251917,605407,646510,1261662,609417,652245,1258390,607041,651349,1256958,607316,649642,1244147,601372,642775,1216181,585023,631158,1168924,560643,608281
福島県,1362750,673525,689225,1437596,710606,726990,1508150,742342,765808,1581563,778732,802831,1625521,799788,825733,1957356,906765,1050591,2062394,1006823,1055571,2095237,1016756,1078481,2051137,986836,1064301,1983754,954988,1028766,1946077,936202,1009875,1970616,953449,1017167,2035272,990575,1044697,2080304,1012456,1067848,2104058,1024354,1079704,2133592,1042030,1091562,2126935,1037787,1089148,2091319,1016724,1074595,2029064,984682,1044382
茨城県,1350400,662128,688272,1409092,693837,715255,1487097,734059,753038,1548991,766423,782568,1620000,801914,818086,1944344,907525,1036819,2039418,993694,1045724,2064037,1006093,1057944,2047024,1000184,1046840,2056154,1007852,1048302,2143551,1054003,1089548,2342198,1159707,1182491,2558007,1272533,1285474,2725005,1357963,1367042,2845382,1419117,1426265,2955530,1476437,1479093,2985676,1488340,1497336,2975167,1479941,1495226,2969770,1479779,1489991
栃木県,1046479,514255,532224,1090428,536259,554169,1141737,562839,578898,1195057,588545,606512,1206657,591599,615058,1546355,719529,826826,1550462,752266,798196,1547580,749636,797944,1513624,729692,783932,1521656,735781,785875,1580021,769524,810497,1698003,834794,863209,1792201,885573,906628,1866066,924221,941845,1935168,962571,972597,1984390,987426,996964,2004817,995859,1008958,2016631,1002114,1014517,2007683,996855,1010828
群馬県,1052610,514106,538504,1118858,548633,570225,1186080,581007,605073,1242453,606779,635674,1299027,637708,661319,1546081,723804,822277,1601380,778910,822470,1613549,781607,831942,1578476,759639,818837,1605584,778916,826668,1658909,808270,850639,1756480,859364,897116,1848562,908871,939691,1921259,947013,974246,1966265,971704,994561,2003540,989610,1013930,2024852,999349,1025503,2024135,996346,1027789,2008068,988019,1020049
埼玉県,1319533,641161,678372,1394461,682052,712409,1459172,718779,740393,1528854,753802,775052,1608039,798321,809718,2047261,955753,1091508,2146445,1049695,1096750,2262623,1110083,1152540,2430871,1200573,1230298,3014983,1511947,1503036,3866472,1951219,1915253,4821340,2437128,2384212,5420480,2739175,2681305,5863678,2961591,2902087,6405319,3245868,3159451,6759311,3419218,3340093,6938006,3500224,3437782,7054243,3554843,3499400,7194556,3608711,3585845
千葉県,1336155,656968,679187,1399257,691242,708015,1470121,729439,740682,1546394,764751,781643,1588425,776541,811884,1966862,908228,1058634,2139037,1036932,1102105,2205060,1074181,1130879,2306010,1128734,1177276,2701770,1343167,1358603,3366624,1694854,1671770,4149147,2095295,2053852,4735424,2383157,2352267,5148163,2588365,2559798,5555429,2802774,2752655,5797782,2923839,2873943,5926285,2976984,2949301,6056462,3029486,3026976,6216289,3098139,3118150
東京都,3699428,1952989,1746439,4485144,2387609,2097535,5408678,2855323,2553355,6369919,3325696,3044223,7354971,3795875,3559096,3488284,1788145,1700139,6277500,3169389,3108111,8037084,4115823,3921261,9683802,4997023,4686779,10869244,5564583,5304661,11408071,5801009,5607062,11673554,5913373,5760181,11618281,5856280,5762001,11829363,5955029,5874334,11855563,5969773,5885790,11773605,5892704,5880901,12064101,6028562,6035539,12576601,6264895,6311706,13159388,6512110,6647278
14__  _  _  _,1323390,689751,633639,1416792,739699,677093,1619606,839309,780297,1840005,951348,888657,2188974,1137936,1051038,1865667,922522,943145,2487665,1247934,1239731,2919497,1470415,1449082,3443176,1746926,1696250,4430743,2280926,2149817,5472247,2822212,2650035,6397748,3287118,3110630,6924348,3536021,3388327,7431974,3804081,3627893,7980391,4098147,3882244,8245900,4209525,4036375,8489974,4308786,4181188,8791597,4444555,4347042,9048331,4544545,4503786
15________,1776474,871532,904942,1849807,913886,935921,1933326,955621,977705,1995777,982497,1013280,2064402,1017080,1047322,2389653,1095809,1293844,2460997,1194929,1266068,2473492,1195872,1277620,2442037,1177923,1264114,2398931,1160283,1238648,2360982,1140148,1220834,2391938,1160869,1231069,2451357,1193653,1257704,2478470,1205071,1273399,2474583,1200376,1274207,2488364,1209833,1278531,2475733,1202004,1273729,2431459,1176919,1254540,2374450,1148236,1226214
16________,724276,354775,369501,749243,368593,380650,778953,381809,397144,798890,388771,410119,822569,401261,421308,953834,442490,511344,1008790,488850,519940,1021121,494109,527012,1032614,500545,532069,1025465,491662,533803,1029695,492492,537203,1070791,514991,555800,1103459,532686,570773,1118369,538955,579414,1120161,538640,581521,1123125,540921,582204,1120851,540212,580639,1111729,535617,576112,1093247,526605,566642
17________,747360,364375,382985,750854,365597,385257,756835,368402,388433,768416,370907,397509,757676,363922,393754,887510,405264,482246,957279,460859,496420,966187,463477,502710,973418,464889,508529,980499,468518,511981,1002420,480380,522040,1069872,518594,551278,1119304,542782,576522,1152325,557664,594661,1164628,562684,601944,1180068,570835,609233,1180977,572244,608733,1174026,567060,606966,1169788,564972,604816
18________,599155,293181,305974,597899,293039,304860,618144,304525,313619,646659,316424,330235,643904,312075,331829,724856,332461,392395,752374,364343,388031,754055,363770,390285,752696,360288,392408,750557,359649,390908,744230,356639,387591,773599,373416,400183,794354,384269,410085,817633,397115,420518,823585,400391,423194,826996,401860,425136,828944,402367,426577,821592,397271,424321,806314,389712,416602
19________,583453,290817,292636,600675,300289,300386,631042,315327,315715,646727,319924,326803,663026,328056,334970,839057,384255,454802,811369,393550,417819,807044,390205,416839,782062,379057,403005,763194,367739,395455,762029,366925,395104,783050,379283,403767,804256,391649,412607,832832,407910,424922,852966,418701,434265,881996,434707,447289,888172,436837,451335,884515,433569,450946,863075,422526,440549
20________,1562722,758639,804083,1629217,793875,835342,1717118,832312,884806,1714000,840103,873897,1710729,833987,876742,2121050,973871,1147179,2060831,1001192,1059639,2021292,979004,1042288,1981433,954673,1026760,1958007,937219,1020788,1956917,936354,1020563,2017564,972471,1045093,2083934,1008885,1075049,2136927,1038070,1098857,2156627,1048109,1108518,2193984,1070471,1123513,2215168,1080986,1134182,2196114,1068203,1127911,2152449,1046178,1106271
21________,1070407,536334,534073,1132557,567837,564720,1178405,591049,587356,1225799,612366,613433,1265024,632820,632204,1518649,715800,802849,1544538,762295,782243,1583605,774062,809543,1638399,796825,841574,1700365,821444,878921,1758954,848786,910168,1867978,907382,960596,1960107,954018,1006089,2028536,986919,1041617,2066569,1003933,1062636,2100315,1019549,1080766,2107700,1022186,1085514,2107226,1020570,1086656,2080773,1006247,1074526
22________,1550387,774169,776218,1671217,835521,835696,1797805,900640,897165,1939860,966250,973610,2017860,996813,1021047,2220358,1039175,1181183,2471472,1206651,1264821,2650435,1301198,1349237,2756271,1353122,1403149,2912521,1428930,1483591,3089895,1516642,1573253,3308799,1627797,1681002,3446804,1695778,1751026,3574692,1759455,1815237,3670840,1808951,1861889,3737689,1841947,1895742,3767393,1857031,1910362,3792377,1868458,1923919,3765007,1853952,1911055
23________,2089762,1033860,1055902,2319494,1150325,1169169,2567413,1277720,1289693,2862701,1418218,1444483,3166592,1582580,1584012,2857851,1357054,1500797,3390585,1649189,1741396,3769209,1829729,1939480,4206313,2064726,2141587,4798653,2382085,2416568,5386163,2694991,2691172,5923569,2966388,2957181,6221638,3112306,3109332,6455172,3228724,3226448,6690603,3354827,3335776,6868336,3439180,3429156,7043300,3525698,3517602,7254704,3638994,3615710,7410719,3704220,3706499
24________,1069270,525957,543313,1107692,544752,562940,1157407,571000,586407,1174595,572356,602239,1198783,585427,613356,1394286,646954,747332,1461197,704805,756392,1485582,717819,767763,1485054,716715,768339,1514467,727802,786665,1543083,742461,800622,1626002,787280,838722,1686936,817578,869358,1747311,847420,899891,1792514,869515,922999,1841358,893982,947376,1857339,901380,955959,1866963,907214,959749,1854724,903398,951326
25________,651050,313737,337313,662412,321071,341341,691631,337016,354615,711436,345185,366251,703679,341631,362048,860911,394802,466109,861180,413110,448070,853734,409813,443921,842695,403281,439414,853385,409502,443883,889768,429885,459883,985621,481733,503888,1079898,529208,550690,1155844,568735,587109,1222411,601082,621329,1287005,634648,652357,1342832,663432,679400,1380361,681474,698887,1410777,696769,714008
26________,1287147,650780,636367,1406382,717464,688918,1552832,792420,760412,1702508,862998,839510,1729993,863494,866499,1603796,752494,851302,1832934,891616,941318,1935161,944278,990883,1993403,973040,1020363,2102808,1028073,1074735,2250087,1102011,1148076,2424856,1190854,1234002,2527330,1238365,1288965,2586574,1264035,1322539,2602460,1267620,1334840,2629592,1276838,1352754,2644391,1278142,1366249,2647660,1272993,1374667,2636092,1265387,1370705
27________,2587847,1344846,1243001,3059502,1594227,1465275,3540017,1845786,1694231,4297174,2241666,2055508,4792966,2460574,2332392,2800958,1353776,1447182,3857047,1899745,1957302,4618308,2290170,2328138,5504746,2766229,2738517,6657189,3355699,3301490,7620480,3823622,3796858,8278925,4132495,4146430,8473446,4203838,4269608,8668095,4286445,4381650,8734516,4308184,4426332,8797268,4321575,4475693,8805081,4304059,4501022,8817166,4280622,4536544,8865245,4285566,4579679
28________,2301799,1175426,1126373,2454679,1239326,1215353,2646301,1332918,1313383,2923249,1466284,1456965,3221232,1622778,1598454,2821892,1344778,1477114,3309935,1622755,1687180,3620947,1773488,1847459,3906487,1917887,1988600,4309944,2120749,2189195,4667928,2299961,2367967,4992140,2453277,2538863,5144892,2512358,2632534,5278050,2567814,2710236,5405040,2619692,2785348,5401877,2612369,2789508,5550574,2674625,2875949,5590601,2680288,2910313,5588133,2673328,2914805
29________,564607,280383,284224,583828,289770,294058,596225,295456,300769,620471,306011,314460,620509,305681,314828,779685,355351,424334,763883,368863,395020,776861,377961,398900,781058,382494,398564,825965,400353,425612,930160,450668,479492,1077491,523633,553858,1209365,587067,622298,1304866,632955,671911,1375481,663591,711890,1430862,688741,742121,1442795,691098,751697,1421310,676375,744935,1400728,663321,737407
30  _  _  _  _,750411,372058,378353,787511,392191,395320,830748,415035,415713,864087,428638,435449,865074,427217,437857,936006,430015,505991,982113,475324,506789,1006819,490533,516286,1002191,484994,517197,1026975,497256,529719,1042736,503202,539534,1072118,517868,554250,1087012,523467,563545,1087206,520172,567034,1074325,510777,563548,1080435,513450,566985,1069912,506882,563030,1035969,488022,547947,1002198,471397,530801
31________,454675,222802,231873,472230,230580,241650,489266,239084,250182,490461,239301,251160,484390,233964,250426,563220,255525,307695,600177,289787,310390,614259,297015,317244,599135,286716,312419,579853,275572,304281,568777,269497,299280,581311,277151,304160,604221,289946,314275,616024,295511,320513,615722,294899,320823,614929,294414,320515,613289,293403,319886,607012,290190,316822,588667,280701,307966
32________,714712,354959,359753,722402,359987,362415,739507,368888,370619,747119,373292,373827,740940,367855,373085,860275,395360,464915,912551,444355,468196,929066,456730,472336,888886,432481,456405,821620,393670,427950,773575,367658,405917,768886,367060,401826,784795,377499,407296,794629,382893,411736,781021,373618,407403,771441,368789,402652,761503,363994,397509,742223,353703,388520,717397,342991,374406
33________,1217698,605316,612382,1238447,613619,624828,1283962,637965,645997,1332647,658773,673874,1329358,651197,678161,1564626,728314,836312,1661099,804357,856742,1689800,815837,873963,1670454,797748,872706,1645135,781418,863717,1707026,819359,887667,1814305,878132,936173,1871023,905477,965546,1916906,926238,990668,1925877,926721,999156,1950750,938439,1012311,1950828,936044,1014784,1957264,938600,1018664,1945276,933168,1012108
34________,1541905,775080,766825,1617680,818266,799414,1692136,856737,835399,1804916,914185,890731,1869504,936936,932568,1885471,878343,1007128,2081967,1015955,1066012,2149044,1047184,1101860,2184043,1058829,1125214,2281146,1107878,1173268,2436135,1188270,1247865,2646324,1296677,1349647,2739161,1336806,1402355,2819200,1373853,1445347,2849847,1385297,1464550,2881748,1398986,1482762,2878915,1392496,1486419,2876642,1390190,1486452,2860750,1380671,1480079
35________,1041013,521041,519972,1094544,552793,541751,1135637,571642,563995,1190542,598434,592108,1294242,658265,635977,1356491,638167,718324,1540882,760220,780662,1609839,792546,817293,1602207,780439,821768,1543573,740934,802639,1511448,719147,792301,1555218,743833,811385,1587079,759255,827824,1601627,763803,837824,1572616,744844,827772,1555543,736555,818988,1527964,722683,805281,1492606,703721,788885,1451338,684176,767162
36________,670212,331768,338444,689814,344550,345264,716544,356958,359586,728748,362042,366706,718717,354423,364294,835763,386052,449711,878511,427684,450827,878109,427204,450905,847274,408300,438974,815115,389795,425320,791111,376729,414382,805166,384812,420354,825261,395994,429267,834889,399689,435200,831598,395906,435692,832427,395636,436791,824108,391718,432390,809950,384635,425315,785491,372710,412781
37________,677852,336195,341657,700308,351911,348397,732816,368442,364374,748656,373522,375134,730394,359139,371255,863700,396235,467465,946022,457980,488042,943823,456711,487112,918867,438924,479943,900845,427058,473787,907897,430773,477124,961292,461370,499922,999864,481104,518760,1022569,492696,529873,1023412,491621,531791,1027006,493482,533524,1022890,491761,531129,1012400,486108,526292,995842,479951,515891
38________,1046720,515389,531331,1096366,542271,554095,1142122,564699,577423,1164898,575627,589271,1178705,580839,597866,1361484,635305,726179,1521878,742092,779786,1540628,749342,791286,1500687,721311,779376,1446384,688063,758321,1418124,670980,747144,1465215,697794,767421,1506637,718517,788120,1529983,728506,801477,1515025,716940,798085,1506700,712518,794182,1493092,704289,788803,1467815,691677,776138,1431493,673326,758167
