name	1920	1920m	1920f	1925	1925m	1925f
全　　　　　　　　国	55,963,053 	28,044,185 	27,918,868 	59,736,822 	30,013,109 	29,723,713 	64,450,005 	32,390,155 	32,059,850 	69,254,148 	34,734,133 	34,520,015 	73,114,308 	36,566,010 	36,548,298 	71,998,104 	33,894,059 	38,104,045 	84,114,574 	41,241,192 	42,873,382 	90,076,594 	44,242,657 	45,833,937 	94,301,623 	46,300,445 	48,001,178 	99,209,137 	48,692,138 	50,516,999 	104,665,171 	51,369,177 	53,295,994 	111,939,643 	55,090,673 	56,848,970 	117,060,396 	57,593,769 	59,466,627 	121,048,923 	59,497,316 	61,551,607 	123,611,167 	60,696,724 	62,914,443 	125,570,246 	61,574,398 	63,995,848 	126,925,843 	62,110,764 	64,815,079 	127,767,994 	62,348,977 	65,419,017 	128,057,352 	62,327,737 	65,729,615									
01　北　　海　　道	2,359,183 	1,244,322 	1,114,861 	2,498,679 	1,305,473 	1,193,206 	2,812,335 	1,468,540 	1,343,795 	3,068,282 	1,593,845 	1,474,437 	3,272,718 	1,695,600 	1,577,118 	3,518,389 	1,738,623 	1,779,766 	4,295,567 	2,169,393 	2,126,174 	4,773,087 	2,428,833 	2,344,254 	5,039,206 	2,544,753 	2,494,453 	5,171,800 	2,583,159 	2,588,641 	5,184,287 	2,552,806 	2,631,481 	5,338,206 	2,621,285 	2,716,921 	5,575,989 	2,737,089 	2,838,900 	5,679,439 	2,766,296 	2,913,143 	5,643,647 	2,722,988 	2,920,659 	5,692,321 	2,736,844 	2,955,477 	5,683,062 	2,719,389 	2,963,673 	5,627,737 	2,675,033 	2,952,704 	5,506,419 	2,603,345 	2,903,074 																				
02　青　　森　　県	756,454 	381,293 	375,161 	812,977 	408,770 	404,207 	879,914 	441,441 	438,473 	967,129 	484,277 	482,852 	1,000,509 	496,614 	503,895 	1,083,250 	511,798 	571,452 	1,282,867 	635,547 	647,320 	1,382,523 	678,837 	703,686 	1,426,606 	694,037 	732,569 	1,416,591 	682,972 	733,619 	1,427,520 	685,477 	742,043 	1,468,646 	707,232 	761,414 	1,523,907 	735,444 	788,463 	1,524,448 	731,439 	793,009 	1,482,873 	704,758 	778,115 	1,481,663 	704,189 	777,474 	1,475,728 	702,573 	773,155 	1,436,657 	679,077 	757,580 	1,373,339 	646,141 	727,198 																				
03　岩　　手　　県	845,540 	421,069 	424,471 	900,984 	448,637 	452,347 	975,771 	486,925 	488,846 	1,046,111 	519,485 	526,626 	1,095,793 	544,276 	551,517 	1,227,789 	579,741 	648,048 	1,346,728 	664,000 	682,728 	1,427,097 	698,563 	728,534 	1,448,517 	702,697 	745,820 	1,411,118 	679,497 	731,621 	1,371,383 	658,458 	712,925 	1,385,563 	668,193 	717,370 	1,421,927 	688,460 	733,467 	1,433,611 	691,740 	741,871 	1,416,928 	680,197 	736,731 	1,419,505 	681,986 	737,519 	1,416,180 	681,238 	734,942 	1,385,041 	663,580 	721,461 	1,330,147 	634,971 	695,176 																				
04　宮　　城　　県	961,768 	485,309 	476,459 	1,044,036 	525,191 	518,845 	1,142,784 	575,335 	567,449 	1,234,801 	622,973 	611,828 	1,271,238 	637,888 	633,350 	1,462,254 	684,453 	777,801 	1,663,442 	828,879 	834,563 	1,727,065 	846,404 	880,661 	1,743,195 	848,579 	894,616 	1,753,126 	854,043 	899,083 	1,819,223 	889,036 	930,187 	1,955,267 	960,245 	995,022 	2,082,320 	1,025,903 	1,056,417 	2,176,295 	1,071,741 	1,104,554 	2,248,558 	1,105,103 	1,143,455 	2,328,739 	1,144,739 	1,184,000 	2,365,320 	1,158,622 	1,206,698 	2,360,218 	1,149,172 	1,211,046 	2,348,165 	1,139,566 	1,208,599 																				
05　秋　　田　　県	898,537 	453,682 	444,855 	936,408 	470,737 	465,671 	987,706 	495,009 	492,697 	1,037,744 	519,249 	518,495 	1,052,275 	524,018 	528,257 	1,211,871 	574,732 	637,139 	1,309,031 	646,445 	662,586 	1,348,871 	660,066 	688,805 	1,335,580 	644,671 	690,909 	1,279,835 	614,429 	665,406 	1,241,376 	593,232 	648,144 	1,232,481 	590,492 	641,989 	1,256,745 	603,403 	653,342 	1,254,032 	599,591 	654,441 	1,227,478 	584,678 	642,800 	1,213,667 	577,535 	636,132 	1,189,279 	564,556 	624,723 	1,145,501 	540,539 	604,962 	1,085,997 	509,926 	576,071 																				
06　山　　形　　県	968,925 	478,328 	490,597 	1,027,297 	506,303 	520,994 	1,080,034 	532,377 	547,657 	1,116,822 	549,060 	567,762 	1,119,338 	548,404 	570,934 	1,326,350 	612,300 	714,050 	1,357,347 	660,555 	696,792 	1,353,649 	651,737 	701,912 	1,320,664 	630,997 	689,667 	1,263,103 	605,185 	657,918 	1,225,618 	587,515 	638,103 	1,220,302 	586,918 	633,384 	1,251,917 	605,407 	646,510 	1,261,662 	609,417 	652,245 	1,258,390 	607,041 	651,349 	1,256,958 	607,316 	649,642 	1,244,147 	601,372 	642,775 	1,216,181 	585,023 	631,158 	1,168,924 	560,643 	608,281 																				
07　福　　島　　県	1,362,750 	673,525 	689,225 	1,437,596 	710,606 	726,990 	1,508,150 	742,342 	765,808 	1,581,563 	778,732 	802,831 	1,625,521 	799,788 	825,733 	1,957,356 	906,765 	1,050,591 	2,062,394 	1,006,823 	1,055,571 	2,095,237 	1,016,756 	1,078,481 	2,051,137 	986,836 	1,064,301 	1,983,754 	954,988 	1,028,766 	1,946,077 	936,202 	1,009,875 	1,970,616 	953,449 	1,017,167 	2,035,272 	990,575 	1,044,697 	2,080,304 	1,012,456 	1,067,848 	2,104,058 	1,024,354 	1,079,704 	2,133,592 	1,042,030 	1,091,562 	2,126,935 	1,037,787 	1,089,148 	2,091,319 	1,016,724 	1,074,595 	2,029,064 	984,682 	1,044,382 																				
08　茨　　城　　県	1,350,400 	662,128 	688,272 	1,409,092 	693,837 	715,255 	1,487,097 	734,059 	753,038 	1,548,991 	766,423 	782,568 	1,620,000 	801,914 	818,086 	1,944,344 	907,525 	1,036,819 	2,039,418 	993,694 	1,045,724 	2,064,037 	1,006,093 	1,057,944 	2,047,024 	1,000,184 	1,046,840 	2,056,154 	1,007,852 	1,048,302 	2,143,551 	1,054,003 	1,089,548 	2,342,198 	1,159,707 	1,182,491 	2,558,007 	1,272,533 	1,285,474 	2,725,005 	1,357,963 	1,367,042 	2,845,382 	1,419,117 	1,426,265 	2,955,530 	1,476,437 	1,479,093 	2,985,676 	1,488,340 	1,497,336 	2,975,167 	1,479,941 	1,495,226 	2,969,770 	1,479,779 	1,489,991 																				
09　栃　　木　　県	1,046,479 	514,255 	532,224 	1,090,428 	536,259 	554,169 	1,141,737 	562,839 	578,898 	1,195,057 	588,545 	606,512 	1,206,657 	591,599 	615,058 	1,546,355 	719,529 	826,826 	1,550,462 	752,266 	798,196 	1,547,580 	749,636 	797,944 	1,513,624 	729,692 	783,932 	1,521,656 	735,781 	785,875 	1,580,021 	769,524 	810,497 	1,698,003 	834,794 	863,209 	1,792,201 	885,573 	906,628 	1,866,066 	924,221 	941,845 	1,935,168 	962,571 	972,597 	1,984,390 	987,426 	996,964 	2,004,817 	995,859 	1,008,958 	2,016,631 	1,002,114 	1,014,517 	2,007,683 	996,855 	1,010,828 																				
10　群　　馬　　県	1,052,610 	514,106 	538,504 	1,118,858 	548,633 	570,225 	1,186,080 	581,007 	605,073 	1,242,453 	606,779 	635,674 	1,299,027 	637,708 	661,319 	1,546,081 	723,804 	822,277 	1,601,380 	778,910 	822,470 	1,613,549 	781,607 	831,942 	1,578,476 	759,639 	818,837 	1,605,584 	778,916 	826,668 	1,658,909 	808,270 	850,639 	1,756,480 	859,364 	897,116 	1,848,562 	908,871 	939,691 	1,921,259 	947,013 	974,246 	1,966,265 	971,704 	994,561 	2,003,540 	989,610 	1,013,930 	2,024,852 	999,349 	1,025,503 	2,024,135 	996,346 	1,027,789 	2,008,068 	988,019 	1,020,049 																				
